,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
menuoptions_matchresolution,Match resolution to current display resolution,Выбрать разрешение игры согласно текущему разрешению экрана,Corresponder resolução do jogo à resolução atual da tela,Usar la resolución actual del monitor,Die Auflösung an die aktuelle Bildschirmauflösung anpassen,Faire correspondre la résolution à la résolution d'affichage actuelle,请使用与当前显示分辨率相符的分辨率,現在のディスプレイ解像度に合わせる,해상도를 현재 모니터 해상도에 맞추세요,Mätsää nykyiseen resoluutioon,,,
menuoptions_applydisplay,Apply display settings,Применить настройки отображения,Aplicar configurações de vídeo,Aplicar ajustes de pantalla,Bildschirmeinstellungen anwenden,Appliquer les paramètres d'affichage,应用显示设置,ディスプレイ設定を適用する,모니터 설정 적용,Ota näyttöasetukset käyttöön,,,
menuoptions_renderingquality,Rendering quality,Качество отрисовки,Qualidade da renderização,Calidad de renderizado,Darstellungsqualität,Qualité du rendu,渲染质量,レンダリングクオリティー,렌더링 품질,,,,
menuoptions_lowqualityrendering,Low quality rendering: $0,Низкокачественная отрисовка: $0,Renderização de baixa qualidade: $0,Renderizado de baja calidad: $0,Niedrige Darstellungsqualität: $0,Rendu de basse qualité : $0,低质量渲染：$0,低クオリティレンダリング：$0,낮은 품질 렌더링: $0,,,,
menuoptions_vsync,Vsync: $0,Верт. синхронизация: $0,Sincronização vertical: $0,Sincronización vertical: $0,Vsync: $0,Synchro verticale : $0,垂直同步: $0,垂直同期：$0,수직 동기화: $0,Vsync: $0,,,
menuoptions_display_areyousure,Do you want to keep the new display settings? Old settings will be restored in $0 seconds.,Сохранить новые настройки отображения? Предыдущие значения будут восстановлены через $0 с.,Manter as novas configurações de vídeo? As antigas configurações serão restauradas em $0 segundo(s).,¿Quieres mantener los ajustes de pantalla? Se restaurarán los ajustes anteriores en $0 segundos.,Möchtest du die neuen Bildschirmeinstellungen beibehalten? Die alten Einstellungen werden in $0 Sekunden wiederhergestellt.,Voulez-vous conserver les nouveaux paramètres d'affichage ? Les anciens paramètres seront restaurés dans $0 secondes.,要保留新的显示设置吗？$0 秒后将还原旧设置。,新しいディスプレイ設定を保持しますか？以前の設定が$0秒後に復元されます。,새 디스플레이 설정을 유지하시겠습니까? $0초 뒤에 예전 설정으로 돌아갑니다.,,,,
menuoptions_resetsave,Reset all progress,Сбросить весь прогресс,Redefinir todo o progresso,Reiniciar todo el progreso,Gesamten Fortschritt zurücksetzen,Réinitialiser toute la progression,重置所有进展,全ての進行度をリセットする,모든 진행 상황 초기화,,,,
menuoptions_resetsave_areyousure,Are you sure you want to reset all progress? This cannot be undone!,Действительно сбросить весь прогресс? Это действие нельзя отменить!,Redefinir todo o progresso? Não será possível desfazer isso!,¿Seguro que quieres reiniciar todo el progreso? ¡Esta acción no se podrá deshacer!,"Bist du sicher, dass du den gesamten Fortschritt zurücksetzen willst? Dies kann nicht rückgängig gemacht werden!",Voulez-vous vraiment réinitialiser toute la progression ? Cette action est irréversible !,确定要重置所有进展吗？此操作无法撤销！,本当に全ての進行度をリセットしますか？これを実行すると、やり直すことはできません！,모든 진행 상황을 초기화하시겠습니까? 되돌릴 수 없습니다!,,,,
menugameover_newgame,New Game,Новая игра,Novo jogo,Nueva partida,Neues Spiel,Nouvelle partie,新游戏,新規ゲーム,새 게임,Uusi peli,,,
menugameover_savereplay,Save death replay,Сохранить повтор смерти,Salvar replay de morte,Guardar repetición de la muerte,Todeswiederholung speichern,Sauvegarder la vidéo de la mort,保存死亡回放,デスリプレイを保存する,사망 리플레이 저장,Tallenna video viimeisistä hetkistä,,,
menugameover_quit,Quit,Выход,Sair,Salir,Beenden,Quitter,退出,終了,종료,Lopeta,,,
menugameover_gamecompleted,COMPLETED THE GAME!,ИГРА ПРОЙДЕНА!,JOGO CONCLUÍDO!,¡JUEGO COMPLETADO!,SPIEL ABGESCHLOSSEN!,A TERMINÉ LE JEU !,游戏完成！,ゲームをクリアしました！,게임을 완료했습니다!,LÄPÄISIT PELIN!,,,
menugameover_nextbutton,You are dead - click here for stats,Вы мертвы — нажмите здесь и посмотрите статистику,Você morreu. Clique aqui para ver as estatísticas.,Has muerto - haz clic aquí para ver estadísticas,Du bist tot - klicke hier für deine Statistiken,Vous avez péri - cliquez ici pour voir vos statistiques,你死掉了 - 点击此处查看统计,あなたは死にました - ここをクリックして統計を見る,사망했습니다 - 통계를 보려면 클릭,Kuolit - klikkaa tästä nähdäksesi statsit,,,
menugameover_records,RECORDS,РЕКОРДЫ,RECORDES,RÉCORDS,REKORDE,RECORDS,记录,記録,기록,,,as in 'world record',
menuoldsavegame_text,A save game with old version was detected. Would you like to continue it? (Weird things may occur.),Обнаружена сохраненная игра со старой версии. Продолжить ее? (Может происходить странное.),Um jogo salvo de uma versão antiga foi detectado. Continuar a partir dele? (Coisas estranhas podem acontecer.),Se ha detectado un guardado de una versión anterior. ¿Deseas continuar? (Pueden ocurrir sucesos inesperados).,Ein Speicherstand mit einer alten Version wurde gefunden. Möchtest du damit weiterspielen (Merkwürdige Dinge könnten passieren.),Une sauvegarde sur une ancienne version a été détectée. Voulez-vous la poursuivre ? (Des choses étranges pourraient se produire.),检测到旧版本的存档。要继续吗？（可能发生奇怪问题。）,古いバージョンの保存済みゲームが見つかりました。このまま続行しますか？(問題が発生する可能性があります。),이전 버전의 저장 게임이 있습니다. 계속하시겠습니까?(이상한 일이 일어날 수 있습니다.),,,,
menuautosave_text,Autosave found. Looks like the game crashed? The game will restart.,"Найдено автосохранение. Похоже, игра дала сбой и будет перезапущена.",Salvamento automático encontrado. Parece que o jogo fechou sozinho? Ele será reiniciado.,Autoguardado encontrado. Parece que el juego ha experimentado un fallo. El juego se reiniciará.,"Auto-Speicherstand gefunden. Sieht so aus, als wäre das Spiel abgestürzt? Das Spiel wird neu gestartet.",Sauvegarde auto trouvée. On dirait que le jeu a planté ? Il va redémarrer.,发现自动存档。是游戏崩溃了吗？游戏将会重新开始。,自動保存データが見つかりました。ゲームがクラッシュしたようです。ゲームは再起動されます。,자동 저장 내역이 있습니다. 게임이 충돌을 일으켰던 걸까요? 게임을 다시 시작합니다.,,,,
menuoptions_pixelart_aa,Pixel art anti-aliasing: $0,Сглаживание пиксельной графики: $0,Antisserrilhado de arte em pixels: $0,Antialiasing de pixel art: $0,Pixel-Art-Anti-Aliasing: $0,Anticrénelage du pixel art : $0,像素抗锯齿：$0,ピクセルアートアンチエイリアス処理：$0,픽셀 아트 안티 앨리어싱: $0,Pikselitaiteen antialiasointi: $0,,,
menuoptions_lowres,Low resolution rendering: $0,Отрисовка в низком разрешении: $0,Renderização de resolução baixa: $0,Renderizado de baja resolución: $0,Niedrige Auflösungsqualität: $0,Rendu basse résolution : $0,低分辨率渲染：$0,低解像度レンダリング：$0,낮은 해상도 렌더링: $0,Piirrä matalalla resoluutiolla: $0,,,
menuoptions_lowres_tooltip,EXPERIMENTAL. Might cause minor rendering glitches.,ЭКСПЕРИМЕНТАЛЬНАЯ ФУНКЦИЯ. Могут появиться глюки отрисовки.,EXPERIMENTAL. Pode causar pequenas falhas gráficas.,EXPERIMENTAL. Puede causar pequeños fallos de renderizado.,EXPERIMENTELL. Könnte geringfügige Darstellungsfehler verursachen.,EXPÉRIMENTAL. Risque d'entraîner des erreurs de rendu mineures.,试验性功能。可能导致少量渲染错误。,実験用です。マイナーなレンダリンググリッチが起こる可能性があります。,실험용 옵션입니다. 렌더링 글리치가 발생할 수 있습니다.,KOKEELLINEN. Saattaa aiheutaa harmittomia piirtobugeja.,,,
menuoptions_brightness,Brightness,Яркость,Brilho,Brillo,Helligkeit,Luminosité,亮度,明るさ,밝기,Kuvan kirkkaus,,,
menuoptions_contrast,Contrast,Контрастность,Contraste,Contraste,Kontrast,Contraste,对比度,コントラスト,대비,Kuvan kontrasti,,,
menuoptions_gamma,Gamma,Гамма,Gama,Gamma,Gamma,Gamma,伽马校正,ガンマ,감마,Kuvan gamma,,,
menuoptions_reset_keyboard,Right click to reset to default.,Правая кнопка мыши — вернуть настройки по умолчанию.,Clique com o botão direito para redefinir para o padrão.,Haz clic derecho para volver a la configuración por defecto.,"Rechtsklicken, um auf Standardeinstellungen zurückzusetzen.",Faites un clic droit pour rétablir les réglages par défaut.,右键单击以重置为默认值。,右クリックでデフォルトにリセットしてください。,오른쪽 클릭으로 기본 설정으로 초기화합니다.,Klikkaa oikealla painikkeella palauttaaksesi oletusasetuksen.,,,
menuoptions_reset_gamepad,Press B to reset to default.,Кнопка B — вернуть настройки по умолчанию.,Aperte B para redefinir para o padrão.,Pulsa B para volver a la configuración por defecto.,"B drücken, um auf Standardeinstellungen zurückzusetzen.",Appuyez sur B pour rétablir les réglages par défaut.,按 B 键重置为默认值。,Bを押してデフォルトにリセットしてください。,B를 눌러 기본 설정으로 초기화합니다.,Paina B palauttaaksesi oletusasetuksen.,,,
menuoptions_musicvolume,Music volume,Громкость музыки,Volume da música,Volumen de la música,Musiklautstärke,Volume de la musique,音乐音量,音楽音量,음악 볼륨,Musiikin äänenvoimakkuus,,,
menuoptions_soundsvolume,Sounds volume,Громкость звуков,Volume dos sons,Volumen de efectos,Tonlautstärke,Volume du son,音效音量,サウンド音量,사운드 볼륨,Ääniefektien äänenvoimakkuus,,,
menuoptions_configurecontrols,Configure controls,Настроить управление,Configurar controles,Configurar controles,Steuerung konfigurieren,Configurer les commandes,控制配置,操作設定,컨트롤 설정,,,,
menuoptions_configurecontrols_hint_keyboard,Right click on a control to reset it to default,Правая кнопка мыши на элементе — вернуть настройки по умолчанию.,Clique com o botão direito em um controle para redefini-lo para o padrão.,Haz clic derecho en un comando para cambiarlo a la configuración por defecto,"Rechtsklicken, um Standardeinstellungen wiederherzustellen.",Faites un clic droit sur une commande pour la réinitialiser,右键单击控制项，将其重置为默认值。,キーバインドで右クリックしてデフォルトにリセットしてください,오른쪽 클릭으로 기본 설정으로 초기화,,,,
menuoptions_configurecontrols_hint_gamepad,Press B on a control reset it to default,Кнопка B на элементе — вернуть настройки по умолчанию.,Aperte B em um controle para redefini-lo para o padrão.,Pulsa B en un comando para cambiarlo a la configuración por defecto,"B drücken, um Standardeinstellungen wiederherzustellen.",Appuyez sur B sur une commande pour la réinitialiser,在控制项上按 B 键，将其重置为默认值。,キーバインドでBを押してしてデフォルトにリセットしてください,B를 클릭해 기본 설정으로 초기화,,,,
menuoptions_configurecontrols_reset_all,Reset all to default,Вернуть все настройки по умолчанию,Redefinir tudo para o padrão,Cambiar todo a los valores por defecto,Alles auf Standardeinstellungen zurücksetzen,Tout réinitialiser,全部重置为默认值,全てをデフォルトにリセットする,모두 초기화,,,,
menuoptions_configurecontrols_rebind_keyboard,Press the key or button for $0,Нажмите клавишу или кнопку для действия «$0»,Aperte uma tecla ou um botão para $0,Pulsa la tecla o botón para $0,Drücke die Taste oder den Knopf für $0,Appuyez sur la touche ou le bouton pour $0,按下用于“$0”的键,そのキーかボタンを押して$0に割り当てる,$0 키 또는 버튼 입력,,,,
menuoptions_configurecontrols_rebind_gamepad,Press the button for $0,Нажмите кнопку для действия «$0»,Aperte um botão para $0,Pulsa el botón para $0,Drücke den Knopf für $0,Appuyez sur le bouton pour $0,按下用于“$0”的按钮,そのボタンを押して$0に割り当てる,$0 버튼 입력,,,,
menuoptions_controls,Gamepad: $0,Геймпад: $0,Controle: $0,Mando: $0,Gamepad: $0,Manette : $0,游戏手柄：$0,ゲームパッド：$0,게임패드: $0,Ohjain: $0,,,
menuoptions_mousesensitivity,Mouse sensitivity,Чувствительность мыши,Sensibilidade do mouse,Sensibilidad del ratón,Mausempfindlichkeit,Sensibilité de la souris,鼠标灵敏度,マウス感度,마우스 민감도,,,,
menuoptions_controls_keyboard,Mouse + Keyboard,Мышь + клавиатура,Mouse e teclado,Ratón y teclado,Maus + Tastatur,Clavier + souris,鼠标 + 键盘,マウス + キーボード,마우스 + 키보드,Hiiri + Näppäimistö,,,
menuoptions_controls_autodetectgamepad,Auto-detect gamepad,Автоопределение геймпада,Detectar controle automaticamente,Detectar mando automáticamente,Gamepad automatisch erkennen,Détecter automatiquement la manette,自动检测游戏手柄,ゲームパッドを自動感知,게임패드 자동 탐지,Tunnista peliohjain automaattisesti,,,
menuoptions_gamepad_rumble,Gamepad rumble intensity,Громкость вибрации геймпада,Intensidade da vibração do controle,Intensidad de vibración del mando,Gamepad-Vibrationsintensität,Intensité des vibrations de la manette,游戏手柄振动强度,ゲームパッドのランブル強度,게임패드 진동 강도,,,,
menuoptions_ui_inventory_icons_always_clickable,Click on icon switches item: $0,При щелчке по значку меняется предмет: $0,Clicar no ícone troca o item: $0,Hacer clic en el icono cambia el objeto: $0,Klick aufs Symbol wechselt den Gegenstand: $0,Cliquer sur l'icône change d'objet : $0,点击图标切换物品：$0,アイコンをクリックして次のアイテムを切り替え： $0,아이콘을 클릭하여 아이템 교체: $0,,,,
menuoptions_application_rendered_cursor,Application rendered cursor: $0,Отрисовка курсора приложением: $0,Ponteiro renderizado do aplicativo: $0,Cursor renderizado: $0,Von der Anwendung angepasster Mauszeiger: $0,Curseur de l'application : $0,应用程序渲染指针：$0,レンダリングカーソルの適用： $0,어플리케이션에서 렌더링한 커서: $0,,,,
menuoptions_screenshake_intensity,Screen shake intensity,Интенсивность дрожания экрана,Intensidade do tremor da tela,Intensidad de temblor de pantalla,Bildschirm-Erschütterungsintensität,Intensité des tremblements,画面振动强度,画面振動強度,화면 흔들림 강도,,,,
menuoptions_damagenumbers,Damage numbers: $0,Цифры урона: $0,Números de dano: $0,Indicadores de daño: $0,Schadenszahlen: $0,Nombres des dégâts : $0,伤害数值：$0,ダメージ数： $0,대미지 수치: $0,Näytä aiheutettu vahinko: $0,,,
menuoptions_replayrecorder,Replay recorder: $0,Запись повторов: $0,Gravador de replay: $0,Grabar repetición: $0,Wiederholungs-Aufnahme: $0,Enregistreur de vidéos : $0,回放录像机：$0,リプレイレコーダー： $0,리플레이 기록: $0,Uusinnan nauhoitin: $0,,,
menuoptions_replayrecorder_tooltip,EXPERIMENTAL. Too high a budget might affect performance.,ЭКСПЕРИМЕНТАЛЬНАЯ ФУНКЦИЯ. Слишком высокое значение может снизить производительность.,EXPERIMENTAL. Um tamanho muito alto pode afetar o desempenho.,EXPERIMENTAL. Puede causar problemas de rendimiento al aumentar el tamaño.,EXPERIMENTELL. Zu hohe Speichereinstellungen können das Spiel verlangsamen.,EXPÉRIMENTAL. Une allocation trop élevée pourrait affecter les performances.,实验性。过高的预留内存可能影响性能。,実験用です。バジェットが高過ぎると、パフォーマンスに影響する可能性があります。,실험용 기능입니다. 너무 높게 설정하면 성능에 문제가 있을 수 있습니다.,KOKEELLINEN. Liian korkea muistivaraus voi hidastaa peliä.,,,
menuoptions_replaybudget,Replay budget [MB],Ограничение на повторы [МБ],Tamanho de replay [MB],Tamaño de la repetición [MB],Wiederholungs-Speicher [MB],Allocation vidéos [MB],回放预留内存 [MB],リプレイバジェット [MB],리플레이 크기 [MB],Uusinnan nauhoitukseen varattu muisti [MB]:,,,
menuoptions_checkforupdates,Check for updates: $0,Проверка наличия обновлений: $0,Procurar atualizações: $0,Buscar actualizaciones: $0,Auf Updates überprüfen: $0,Chercher les mises à jour : $0,检查更新：$0,アップデートを確認： $0,업데이트 확인: $0,,,,
menuoptions_language,Language: English,Language: русский,Language: Português (Brasil),Language: Español,Language: Deutsch,Language : Français,Language：简体中文,Language： 日本語,Language: 한국어,Language: Suomi (Jonne) (Work in progress),,,
menuupdatenotification_title,NEW UPDATE AVAILABLE,ВЫШЛО ОБНОВЛЕНИЕ,NOVA ATUALIZAÇÃO DISPONÍVEL,NUEVA ACTUALIZACIÓN DISPONIBLE,NEUES UPDATE VERFÜGBAR,NOUVELLE MISE À JOUR DISPONIBLE,有新的更新,最新アップデート利用可能,새 업데이트 사용 가능,,,,
menuupdatenotification_description_generic,A new build of Noita is now available!\nClick here for release notes,"Вышла новая сборка игры Noita!\nЧтобы прочитать заметки о выпуске, нажмите сюда.",Uma nova versão de Noita está disponível!\nClique aqui para ver as notas da versão,¡Hay una nueva actualización para Noita!\nHaz clic aquí para ver las notas del parche,Eine neue Version von Noita ist jetzt verfügbar!\nHier klicken für die Versionsinformationen,Une nouvelle version de Noita est désormais disponible !\nCliquez ici pour voir les notes de version,新版本《Noita》现已上线！\n单击此处查看发行说明,Noitaの新しいビルドが利用可能です！\nここをクリックしてリリースノートをご確認ください。,새로운 Noita 빌드가 있습니다!\n여기를 클릭하여 릴리즈 노트를 확인하세요.,,,,
menureleasenotes_notavailable,No release notes available,Заметок о выпуске нет,Nenhuma nota de versão disponível,No hay notas del parche disponibles,Keine Versionsinformationen,Aucune note de version disponible,没有可用的发行说明,リリースノートがありません,릴리즈 노트 없음,,,,
